CAGDP9 Real GDP by county and metropolitan area 1
CAGDP9 Real GDP by county and metropolitan area 1
County
GeoFips,GeoName,2017,2018,2019,2020,2021,2022
01001,"Autauga, AL",1762558,1787534,1730861,1722438,1727818,1929264
01003,"Baldwin, AL",7382558,7758980,8148786,8102009,8738819,8924207
01005,"Barbour, AL",761761,774076,762557,731636,747888,745349
01007,"Bibb, AL",406741,397141,441359,460018,458049,448464
01009,"Blount, AL",987967,1046736,1014620,907179,1025600,1045845
01011,"Bullock, AL",244958,257012,266230,268773,258126,247403
01013,"Butler, AL",630225,653349,638217,603301,634002,652201
01015,"Calhoun, AL",4244400,4342966,4555074,4461364,4624647,4608415
01017,"Chambers, AL",872734,909826,938023,880665,871486,894548
01019,"Cherokee, AL",558805,592093,575624,536093,595234,606899
01021,"Chilton, AL",983589,1032448,1114286,1065893,1086812,1077591
01023,"Choctaw, AL",556183,602860,559692,561198,573867,611338
01025,"Clarke, AL",814115,843518,835887,848612,845024,817215
01027,"Clay, AL",393577,467788,425949,425117,433167,433948
01029,"Cleburne, AL",302289,308867,285759,280954,316333,332525
01031,"Coffee, AL",1426217,1460880,1441716,1406676,1607264,1641541
01033,"Colbert, AL",2453731,2565631,2570117,2532200,2551784,2635868
01035,"Conecuh, AL",439777,405083,391837,366987,379476,350708
01037,"Coosa, AL",185492,194981,190197,176564,177586,197269
01039,"Covington, AL",1269561,1274429,1209690,1211960,1252767,1229523
01041,"Crenshaw, AL",441726,476010,464820,377517,417294,443859
01043,"Cullman, AL",2827288,2845911,2921760,2807266,3020298,3112513
01045,"Dale, AL",2834970,2790050,2806488,2784502,2891514,2884753
01047,"Dallas, AL",1246698,1252898,1263447,1250079,1259154,1196269
01049,"DeKalb, AL",1977689,2065444,2012749,1877040,2120202,2181316
01051,"Elmore, AL",1950579,1990146,2016328,1961812,2038808,2064691
01053,"Escambia, AL",1269744,1250185,1249769,1194921,1199168,1187779
01055,"Etowah, AL",3095515,3131025,3067345,2835555,2900784,2924073
01057,"Fayette, AL",344642,340351,346343,335912,346793,337710
01059,"Franklin, AL",968151,1028698,987027,909048,977743,1029838
01061,"Geneva, AL",523521,535790,564534,559250,578794,557507
01063,"Greene, AL",218678,216735,229369,209430,194567,200050
01065,"Hale, AL",293104,267685,268730,274917,250191,228355
01067,"Henry, AL",422115,432263,444339,448637,464381,448995
01069,"Houston, AL",5410140,5441082,5533187,5585685,5805447,5709703
01071,"Jackson, AL",1508968,1592423,1552192,1455231,1521659,1484505
01073,"Jefferson, AL",44607663,45407561,45980233,45507114,47784600,48581447
01075,"Lamar, AL",343759,342479,339487,326562,332753,323734
01077,"Lauderdale, AL",2651431,2649394,2646302,2624507,2751783,2770761
01079,"Lawrence, AL",534109,557668,558625,560481,600832,582451
01081,"Lee, AL",6138724,6112260,6342058,6187153,6561345,6860502
01083,"Limestone, AL",3782933,3748925,4015687,4003975,4453940,4685164
01085,"Lowndes, AL",437070,428001,390275,380119,388468,403938
